Post,Label
one of the best questions thieves were blaming aziomi for not hiring agents how can independent candidates hire agents across the country iebc should honestly conduct elections without supervision by agents levelling the play field for all candidates well done justices x2xt0zjgna,neutral
the iebc bears the burden of ensuring free fair credible and verifiable elections not agents justice philomena m petitionhearing,fact
agents are not mandatory iebc has a duty to conduct free fair and credible elections at this rate we might be required to install cctv in polling stations to watch over untrustworthy untruthful and deceitful staff of iebc 5qefow01r4,neutral
our laws have no problems our elections have no problems our problem lies with our politics says abdikadir lawyer for iebc,fact
the one thing i don t understand about this guy itumbi is why do you like to meddle with everything that s between the court and the iebc why don t you stop trying to pre empty everything will get to know the verdict from the court and not your opinions,neutral
excellent questions from justice njoki ndung u q what happens if the chairman of iebc s is incapacitated collapsed dead a demi god,neutral
"interesting questions asked by council representing iebc today
supremepetition @user @user",neutral
the iebc legal team has been in disarray since morning no serious defense the good prof has lost all cases he takes lead,neutral
‘if it speaks like a duck look like a duck swim like a duck it has to be a duck’~ submission at supreme court supremepetition supremecourt submissions raila ruto uda iebc azimio,neutral
iebc and william ruto have brought majority of new and young faces in the supreme court as their lawyers whereas raila odinga has recycled the same old geezer orengo to represent him and has lost since 97,neutral
voter s whose finger prints never captured were taken photos with their ids beneath their chicks can our lawyers asked the iebc it somane to clear the air in respect to perce@user ariance,neutral
iebc do special to trigger a constitutional crisis a mere mortal like a new born or a breathing animal save us from such outrageous thoughts,neutral
@user 300 millions accessed iebc portal supremecourt justiceiscoming thedawnofjustice jvyojpxkps,fact
when iebc and william ruto were putting together a young vibrant and tech savvy team raila odinga was being pandered by lies by some old guys this case is over get over it,fact
or forceful eviction chebukati is not iebc nor is any public officer equivalent to the offices they occupy iebc will be there with or without the person of chebukati kenya is bigger than any one of us immortal souls nobody knows when the lord allah come calling humility,neutral
this pleading also got me off guard since when did a chairman of iebc become an infallible immortal god whose vacancy can trigger a constitutional crisis if the scork declare him unfit to hold a public office √if the heads of the other 3 arms of government eg speaker jc jdmmmicogr,neutral
why did iebc print 2 books of form 34as at the first place 2013 we had a green register whose purpose was not disclosed this time the chair did it differently our prayer is to fix the election manenos so that kenya can move forward,neutral
@user iebc is an independent body,neutral
i hear 380 millions of people who accessed the iebc portal can the system generate a report on the same and shared with kenyans,neutral
and the iebc s get over it advocate is mursal mahat somane ynbtdiuwza,neutral
accountofficiel drahmedkalebi this iebc servers are based on blockchain,neutral
iebc lawyers don t know the population of kenya just as they don t know which turnout percentage they should present to court anyway 300m kenyans downloaded forms according to chebukati,neutral
iebc adv mr mahat somane deconstructed a whole petition by sen okiya omtatah in a single slide his entire petition was summarize in a single sentence gradual percentages are calculated based on reporting kiems kits and not registered voters this was a tko @user iq9awdcmvy,neutral
the iebc lawyers have been opaque on the process that chebukati used in announcing the president elect for them to backpedal their responsibility is henious supremecourtofkenya,neutral
@user prof a lawyer of your repute unable to discern the direction of a case based on what has been presented so far calls into question your legal reasoning iebc lawyers have completely shredded the foundational basis of your case even the scok judges poked holes on your case,neutral
harryteacher2 aaroncheruiyot because that server does not belong to iebc,neutral
iebc legal team even donated their time to the supreme court judges man azimio get over it,neutral
iebc system was tanderproof and no hacking took place and assuming it happened how about physical form 34as physically delivered by road to bomas were they also hacked some things don t need rocket science to fathom this petition is a waste of time my take get over it,neutral
iebc chairman failed to follow the constitution if the 27 constituencies ballots were tallied and verified why didn t he announce the results of the 27 constituencies first before declaring the president elect w46i4oovhr,fact
why doesn t iebc contract several hundreds of our young it and computer engineers to come up with a tander proof electronic election system it ll definitely be cheaper than buying a foreign system that you ll never own,neutral
purely on the basis of the numbers and the data plus facts of what transpired with the presidential elections as submitted by iebc lawyers before scok my simple reading is that it’s kwinished it is what it is… numbers and facts now to wait for the rejoinders and ruling 🙅🏾 m3xnd56rjg cxdsnkhbsq,neutral
blame games iebc as it s now cannot run an election yet it completed election as it s now someone to open my eyes plz,fake
iebc choir eunicemammito wacha drugs please 4wk3no8xzc,neutral
why can t iebc open the servers if nothing went wrong why don t the body open the servers it s not over until it s done,neutral
@user is he suggesting that the ones we paid for iebc to employ were not performing their duty this is sacrilegious,neutral
over 300 million kenyans accessed the iebc portal shually how many kenyans are there,neutral
iebc through their legal representatives need to tell us why is the intellectual property of kenya’s election system owned by a foreign company a company which has questionable previous issues in relation to other countries e g philippines and uganda thepeoplevschebukati,neutral
iebc was able to speak to the forms 34as what are we being taken for,neutral
supremepetition with this presentation from mahatsomane rep iebc railatosha2022 should just concede this defeat its done deal the guy soberly dismantled everything from numbers to kims kit to result transmission with evidence he evens speaks like ict expert,neutral
"dennis itumbi 
forodha house update 
it is now 41 41 polling stations no anomalies the last box had only a few issues book 2 2 was missing and the form through signed by all agents was not standed however the votes match the iebc portal results 100percent
supremepetition",neutral
the counsels of iebc have hit the nail on the head on the credibility validity verifiability and indubitabillity of elections from conduct tabulation collation transmission and announcements with no exclusion of presidential election every process was legal supremepetition,neutral
@user you are lying yesterday instead of showing how votes were stolen the lawyers were busy attacking iebc chair,neutral
prof githu muigai there is nothing wrong with iebc or wafula chebukati there is something very wrong in the way the persons who participate in the electoral process accept winning or losing supremepetition,neutral
iebc lawyers are trashing raila odinga martha karua legal team like nobody’s business,neutral
eric gumbo as to whether the technology iebc used in the general election was successful 46 201 kiems kits worked out of 46 229 this is more than 99percent even in our education system an a is not 100percent,neutral
when kenyans were busy questioning the integrity of the iebc ruto was their lawyer he was ready to die for them and for every change that was made by the courts he was always ready to defend them now we know why supremepetition,neutral
this is the first time that i hear a person being criticized for being too open iebc is now being vilified for being too transparent in uploading the forms on the public portal kamau karori kenyaschoice2022 supremepetition,neutral
i get the sense when comparing today’s submissions by iebc lawyers with that of the petitioners’ lawyers yesterday that the iebc team are sharply focused on evidentiary facts while the petitioners’ cohort put up a great show of captivating bluster thats my lay view so far,neutral
every propaganda by azimo have been dealt with facts iebc remains the winner in this elections,neutral
iebc server server server why do you cause so much pain to innocent people why,neutral
this iebc lawyer should tell us what kind of encryption is used on the system and how it will be hard to decrypt,neutral
@user @user iebc has started with confusion,neutral
the decision on who lead this country is made at the polling station not in courts iebc awuoro azimio livestocks will have a long day today supremepetition,neutral
kienyejihens kenyans and iebc hq or bomas did not alter the results of forms 34a from the polling stations that is usually final,neutral
all azimio governors senators members of parliament and mcas who won in the election believe that the iebc conducted a free and fair election in accordance with the law using the same inflated register but not for the presidential election magi onge,neutral
iebc argues in court that four breakaway commissioners were influenced by external forces to ensure the presidential poll ended without a binding declaration 6coojyrmdd,fact
iebc lawyer githu muigai argues raila’s legal team focused on generalities without giving proof of electoral fraud says raila has history of rejecting results 6coojyrmdd,neutral
"the iebc and its chairman conducted the august 9 2022 presidential election strictly in compliance with the guidelines that this court has given prof githu muigai kenyaschoice2022
supremepetition",fact
prof githu submitted that all the iebc chairmen have been bundled out of offices despite their enjoyment of constitutional security of tenure the problem therefore has got to do with the presidential candidate who never accepts results and not the chairmen of the commission,neutral
glad to make part of the iebc legal counsel the gravamen of our case is that polling station results in the physical forms 34a are final and binding on the commission and candidates these have not been challenged and we see no reason to disturb the outcome of this election,fact
kamau karori sc misleading the court on who the commission is ignores section 5 1 of the iebc act which defines the composition of the iebc,neutral
sc prof githu muigai is addressing the most substantive imperative germane and consequential issues in his submission the iebc counsels preparedness is notable he s deconstructing the flimsy nature of petitioner s counsel submissions yesterday supremepetition,neutral
@user @user how can iebc kenya give acotract to accompany which the whole world is scary about,neutral
githu muigai is dismantling all the lies peddled yesterday by the clueless iebc loyas tune in,fact
@user @user 110 is not immaterial look at it this way if in summing up 4 variables chebukati erred what with 46 229 polling stations omtatah presented a couple of mathematical fronts that iebc will grapple with the reverse calculation for a predetermined winner is so solid,neutral
@user is iebc a court of law,fake
@user @user my learned friend really so you mean all iebc officials were uda mind boggling,fact
@user @user @user chebukati was the iebc chair 2017 or are we missing something,fact
realdigit industryagain benliquidkenya iebc stands were lost when elections materials were vandalised in embu or was it tharaka nithi iebc explained them away as non strategic material,fact
"tv47ke linda alela morningcafe
indeed it sounds so but in my perception there s one notiably political devide when it looses it ever claims iebc didn t conduct credible free and fair elections
tuned in from magongo mombasani",fact
fishing expeditions are common with those who want iebc to be headed by the opek four who were imposed on kenyans by the brothers for the sole purpose of rigging bbi fw0kfeaidu,neutral
day one in the supreme court was excellent most of azimio lies were noticed all the judges asked similar questions we ve been asking azimio again out of the 40 41 boxes recounted match exactly what s in the iebc portal 13th september is the day for swearing in william ruto ccad5zp6zs,neutral
ombewakenneth52 kenyans because everyone including bbc aljazeera and local television said but we downloaded and tallied ruto won so now they thought of the hacking fiction story to discredit the iebc website forms to be not credible,neutral
cj koome iebc chairman has powers vested on him in totality to declare the president elect even in absence of all commissioners,neutral
kmaweu josyngatia geraldbitok from the judges questions the petitioners have mwakenya on the issues they need clarified satisfactorily convince the judges they eliminate any doubts the judges may have in accepting the petitions chebukati and iebc is guilty as charged,neutral
ongukogeorge kenyans not bro remember no one send and re upload the claim is the photos taken by kits were captured by hackers on air before reaching iebc port and then changed everything in less than a minute and then uploaded onto iebc website,neutral
cj koome prayed for iebc to discharge their mandate with integrity honesty and fidelity to our constitution she prayed against any evil of corruption fraud and deceit and electoral justice to prevail and best candidate to carry the day those who will steal the election to be smoked out,neutral
babudamorio ngetichl5 josyngatia geraldbitok having agents is not a constitutional requirement or is it iebc is obligated to undertake credible free fair and verifiable elections party agents or not,neutral
@user it can at long run be rendered as iebc if they come at stupid conclusions or rather ask foolish questions,fact
wakabando tell them mhesh i heard one of them saying they were rigged out with the help of iebc staff who had face mask on laughable,fake
at this stage we haven t even heard ruto defending himself the judges are asking questions so that they can get clarity on azimio and iebc s submissions yet some very shallow fellas on twitter have already started having vague ideas relax kifo kisimani kibe mungai piki piki,neutral
iebc are yet to open the servers openserversnow lvexpcfrf8,neutral
as the court hearing is proceeding am hambly praying that if the court finds ruto chebukati and iebc guilty there should be no rerun instead the ruto s victory should be overturned and to be sworn in as the 5th president period no rerun period,neutral
with respect to the petitioners iebc is an institution with hundreds of employees professionals who worked hard to conduct election of hundreds of leaders it would be unfair to reduce iebc to chebukati and tarnish it that a rogue chair ran roughshod on them to steal election,neutral
@user @user @user that s impossible because a rerun must be conducted by the iebc which must have a chairman,fact
@user @user every judge is a judge in his own right if you remove chebukati none of the other 6 commissioners can take over as chairman since they re not qualified and iebc cannot perform some functions without the commissioner eg declaring the presidential result,neutral
@user @user @user @user it is not amust to have agents for iebc spends 40b to deliver free fair and verifiable elections for 46 000 mult sh3 000 eq 138 000 000 day,fact
this iebc petitions can be viewed different from a distance what if the four mazematics ones colluded to jilt chebukati and the other 2 by virtue of being the majority it s also quite possible to push that agenda,neutral
by azimio showing lack of confidence in iebc and courts clarifying themselves that they cannot remove chebukati it becomes abundantly clear that scok aren t going to annul the election it will be a waste of time and taxpayers resources because azimio wouldn t accept the result,fact
my lady had iebc used kiems kits bought from bv5audyjsh they would not have failed imd71zmxvt,neutral
next elections we deserve a highly distributed system one that send copies to all interested parties with capacity to system code and hardware for kiem kits should all be open source snd locally developed wannabe it guys iebc brings rely on kenyan freelance developers,neutral
supremecourt judge lenaola section 6 of the iebc act states that the chair must be an advocate of the high court with the qualification similar to a judge if the court removes chebukati will the commission still be legally constituted to oversee an election,fact
nyigsey ferdyomondi simple and direct questions that will be answered well there can only be one order which is to nullify until iebc with its opaqueness gets it right even if it means repeating the election five times,fact
how do you expect the supreme court declare raila a winner through the votes that they claim had been tandered by iebc,neutral
supremecourt following the supreme court order iebc has granted access to the parties to access the servers and the scrutiny exercise is ongoing,neutral
supremecourt dcj philomena mwilu when did iebc become dysfunctional what corrective measures were attempted supremepetition,fact
muthokatito salomelugard judges being objective the elections cannot pass if iebc did not lean up the register as per lawyer willis submission then the numbers could be fallacious omtata and nyomodi had strong points,fact
iebc needs to clarify to kenyans 1 what formula they used to compute the voter turnout they announced 2 iebc records should also reveal the number of voters not identified electronically at all other polling stations but voted bn5ndvhxyu,fact
at what point did the iebc commission cease to function that is the million dollar question in my opinion this is the question that will determine the direction that the supreme court judges take in determining this case,neutral
justice smokin wanjala can the hackers change the physical forms 34a being delivered by road to bomas justice lenaola we saw the 4 iebc commissioners relaying results why did this become an issue at the tail end of the process the 2 questions of the day,neutral
justice lenaola asking the pertinent questions in regards to the 4 renegade iebc commissioners f9x9gzjlsm,neutral
iebc says it has given raila access to its 8 servers hours after standoff,neutral
fact checking abdi dahir maalim was the gazetted returning officer for the diaspora kenyans living outside the country iebc commissioners justus nyang aya and juliana cherera through lawyer jotham arwa are lying,fact
"assistallapp seeks to expand the participation of pwds in social economic and political spheres of life through assistive technological innovations
funded by
ukaid
in partnership with iebc
gsma
ge2022 assistall @user @user @user",neutral
"lies if the results were agreeing itumbi wouldve been screening here with tweets like 
majengo primary school stream 1 by the way iebc has failed to provide forms 34as from the boxes",neutral
big blow to kuzimia as the results of all 15 retallied polling stations so far including majengo as directed by supreme court correspond to the forms 34as on iebc website viva,fact
since anyone can deputies the chair i will tender my application during the next iebc commissioners shortlisting i am over qualified form34a,neutral
use of rogue opinion poll companies misuse of main stream media to spur a false narrative against one candidate interference of iebc both financially and administratively and misuse of public independent institutions to steer a political agenda vlaprnpgbu,neutral
murkomen has gone to report to ruto that the recount of votes has exposed them for rigging the elections things are bad for ruto uda the iebc returning officers in areas where there are discrepancies in the forms 34as vs recount must face treason charges,fact
our win was the wish of the people iebc should open the server as ordered by scok and settle this case,neutral
"okay wtf they are criticising iebc n they go wrong on their maths
rutowillbebarred supremecourtofkenya ukraine",fact
kindly tell your boss to order chebukati to give access to iebc servers thought you won,fact
prof tom ojienda holds a doctor of laws ll d but still thinks the supreme court should declare a winner and nullify chebukati s declaration of ruto as president elect because the results did not emerge from the commission the results are not from iebc rather from voters,fact
according to chief justice david maraga the 2017 election was annulled because iebc refused to open the servers,fact
orengo iebc wasn t well constituted as commissioners were divided over credibility of elections results thus chebukati had no powers to declare ruto cj koome iebc chairman has powers vested on him in totality to declare the president elect even in absence of all commissioners,neutral
who do you think will win at the supreme court of kenya likes for william ruto vs retweets for raila fred ngatia kasarani iebc commissioners chebukati so iebc justiceiscoming,neutral
@user iebc in bomas vs iebc in scok opentheservernow thedawnofjustice,neutral
mr chebukati is getting roasted thoroughly this guy has got to go to jail how long are we going to be subjected to this kind of process every single 5 years because of chebukati and his ceo they are the two constants from 2017 they have been infecting iebc from the top,neutral
@user acquaint yourself with facts first that s what s required of you as a journalist boost your intellectual bandwidth on iebc matters first book 2 of 2 should be blank,neutral
@user an hero for iebc,fake
we will seek justice the iebc is no longer an independent body,fact
iebc declines to open the servers in spite express order of the scok presidentialpetitionke,neutral
back to default on opening of servers 2nrleqocmy,neutral
@user @user @user the forms were doctored and manipulated no consistency from iebc,neutral
in 2017 the supreme court opened the floodgates for all manner of allegations and aspersions to be casted against the iebc for the conduct of an election that paved way for a record 9 petitions in 2022 the supreme court must shut that window eternally supremecourtofkenya,neutral
willis otieno is a fake lawyer chebukati said even though it is his sole responsibility to tally and declare the winner of the presidential election in the spirit of team work he involved all the iebc commissioners no contradiction at all,fact
@user @user instead of the iebc receiving the votes verifying the votes and declaring the tally chebukati put his name supremecourtofkenya,neutral
so iebc server is owned by cheburuto contept of court thedawnofjustice justiceiscoming,neutral
we ve instances where the president of supreme court has been on the dissenting side but never been heard saying their minority decision is decision of the court chebukati is telling kenyans that a minority decision is the decision of iebc how absurd wiilis otieno advocate,fake
was this before the felling of bbi you guessed right tomorrow felling of the petition ge2022,neutral
despite knowing that kenya s 2022 presidential elections were mainly anchored on hardcopies of form 34a from the polling stations azimio took the court in a wild goose chase in the internet talking about hackers and servers azimiolafujo ge2022 supremecourtofkenya,neutral
at the scork yesterday the learned friends were telling fairy tales and singing kindergarten songs it was good memories for my ladies and lords today its facts logic and substance scork supremecourtofkenya ge2022,fake
after approval of ballot designs commissioner cherera visited the printer in greece could she have changed the ballots for mombasa and kakamega to force a postponement its not explicitly mentioned in chebukati affidavit but left to your imagination ge2022,fake
@user @user it s time to head to @user @user @user about all these hacking they talk about at breakfast shows tech is not a men s only forte inspire someone s daughter did hacking really happen did it affect the announced result ge2022,neutral
these azimio people do they really believe that there is a master stroke that will change all these media tallies will they be shocked by the final result or they ll say we saw that coming chebukati is announcing today the numbers are form 34a kenyaschoice2022 ge2022,fake
chaos inside bomas not effective introduce chaos outside bomas is this how it is supposed to be next will be running battles in kibera and kisumu no other part of the country will join it will die off then the country moves on under a new administration ge2022,neutral
all tallies so far shows ruto is ahead local media international media private citizens etc which figures do azimio have what grounds do we have to allege rigging the forms were uploaded to the public portal to help curb any alteration after signing of forms ge2022 kenya,neutral
did you know that eyeofjackiechan served as a queuing clerk in ge2022 i thought you should know,neutral
after all this is done ruto will invite raila to state house to discuss how opposition can be strengthened in the national assembly the senate and county assemblies across the country there is an important role the opposition play in kenya s democracy ge2022,fake
my debut as a po in the ge2022 for kenya was driven by an innate desire to serve observe and learn am grateful for the opportunity and experience,neutral
forms 34b now being reported saboti in trans zoia and ainabkoi in uasin gishu the format is still tedious to extract data but better than form 34a kenyadecides kenyaschoice2022 ge2022 freedomiscoming,neutral
bodaboda operators at work at turkana west goes to ballot in electionske elections2022 ge2022,neutral
business closed in kakuma as turkana west votes in elections2022 ge2022,neutral
let s exercise our democratic right with patience grace and above all peace kenyadecides ge2022 @user @user @user,neutral
to all our esteemed patrons as we approach august 9th 2022 please take note of the below update ge2022,neutral
"ge2022 elections2022 week of prayer
cjpckakamega ncckkenya @user ncckkenya hakiknchr @user @user @user",neutral
"ge2022
general election should not threaten our peace as a community society or country votepeacefully peace processes are complex circular uncertain and at times disorderly transitioning out violent encounters may be difficult for the society especially in tune in at 8am eat peacefm107",neutral
"@user """,fact
as kephra in partnership with tendasasa under the rps program sponsored by denmarkinkenya we urged them to be ambassadors and advocate for peace and togetherness especially in regions that have been violent during previous elections we are one we are kenyans first ge2022 iltucwkuwq,neutral
let s stay informed election bila noma ge2022,fake
am glad that i have friends whom we don t support the same candidate despite our differences let s respect each other s opinion and remember life goes beyond 9th aug tupreachamani @user @user statehousekenya ncic kenya ge2022,neutral
they ve gone all out against him they thi k their antics will douse his fire its vitriol they are adding they have run out of munition they are resorting to crude means but he gets more stronger his vistory is imminent go for it @user ge2022 kenyakwanza,fact
when you were glued to your tvs and phones watching presidentialdebateske2022 the brothers switched off electricity half the country and while away the night drinking and dancing ge2022 pdllpttzhh,neutral
"youth should not indulge themselves into any form of incitement hate speech ethnic acts or any form of verbal or physical violence that interferes with the peace and stability of the country during the ge2022 ~ vimalafrica mkenya daima
chair roysasaka formnipeace qxgzfpookd",neutral
azimio panelists in tv stations struggling to justify why it is a wise and right decision for raila to boycott the debate ge2022 presidentialdebate2022,neutral
for the presidential debate let all aspirants be on the same podium the oldman ruto wajakoya and the pastor for variety and comic relief i mean raila s incoherence will make the debate so boring ge2022 presidentialdebateske2022 mediacouncilk presdebateke,neutral
tomorrow i will join young people at strathu to discuss the future we want building leadership capacity of the youth to secure a sustainable and peaceful future for all its our responsibility to ensure safety of women girls and young people ge2022 hkoezbssmt cwbdow2mdz,neutral
"are you a creative designer that can bring ideas to life join our team today by sending us your cv and portfolio to @user gmail com
@user recruiting ge2022 @user @user",fact
"elections result forms
21 days to ge2022",neutral
we are today in partnership with mediacouncilk conducting a training on election reporting for journalists based in merucounty012 to enable them to report professionally areas to be covered include conflict safety and gender sensitive reporting mediatrainingke ge2022 nopejhgnzi,fact
team meru represented ge2022,neutral
"p r a y
peace reconciliation assembly for the youth
we mobilized youth to educate and inspire for peaceful elections and we are at mama grace onyango social hall having candid conversations as we gear up towards peaceful general elections ge2022
yps",neutral
kevinosidoesq the executive director cgw kenya in his remarks assured the bodaboda riders that his office in partnership with nairobi leadership will plan to train trainer of trainers on civic education to ensure there are not many rejected votes in the ge2022 mercycorps bow2mxhn9u,neutral
"led by mr william thuku the regional commissioner the bodaboda riders representatives pledged to maintain and promote peaceful general elections2022 kevinosidoesq mercycorps charlesapondu tendasasa danishmfa kenyaelectionwatch2022
ge2022",neutral
"charles gichira the chairman bodaboda association urged the riders to preach and maintain peace during the ge2022 mercycorps tendasasa danishmfa ncic kenya bodaassnofkenya interiorke
@user @user",fact
eldoret youth leaders ve training has been a success kisumu see you on the 17th and 18th mappingkenyagreen ge2022 gak7c9xuym,neutral
registered voters are required to very their registration details from 4th may to 2nd june 2022 ge2022,neutral
marlborough lack of regulation on candaign spending a great flaw of the kenyan electoral process anne marlborough eu electoral observation mission had a chat with oliviaotieno doubleodirect eueomkenya2022 full interview ckdb6nhalc h75fj5gmtl,neutral
@user @user @user @user @user @user angaza movement why go to naomba serekali manenos if a business cannot pay its loans or taxes we shut it down why should it be any different for political parties you are re enforcing my position to use raila s analogy you can t take the pitch if you don t have 11 players lbirvbbqgb,neutral
@user @user @user @user @user @user angaza movement then maybe we need to redefine what is a political party allowing a party that cannot provide the requisite personnel and resources is an avenue for rigging an election,neutral
@user @user @user @user @user @user angaza movement strong holds like kibra where irregularities have been happening for over 20 years yet no action is taken such as providing increased security seems we don t want to fix the problem and instead use it as grounds for perpetual lamentation,fact
@user @user @user @user @user @user angaza movement what happens if one walks out with the issued presidential ballot paper is it declared as spoilt the solution could be to issue a single ballot paper for all positions from mca to presidential simple and clean,neutral
@user @user @user @user @user @user angaza movement t i left 1 for last because i need you to elaborate on the blackhole,neutral
@user @user @user @user @user @user angaza movement on 2 that makes no sense as the register must tally with the votes cast as well as the counter foil in the ballot paper booklets which if i am not mistaken are serialized,fact
@user @user @user @user @user @user angaza movement let me start with 3 that was a very pedestrian argument by orengo as nothing stops one from voting for all other positions except the president note certain cultures frawn against supporting their own but one can abstein,fact
@user @user @user @user @user @user angaza movement yes a clueless judge gave directive was the physically opening of a virtual server in the cloud but i digress which part of the electoral process do you feel isn t visible 8alq1zaqg4,fact
@user @user @user @user @user @user angaza movement i think that is more conjecture than fact as you didn t have visibility of the entire process which makes the data suspect nonetheless it was a step in the right direction but sadly we keep switching legs every election a single platform from 2007 would be rich in knowledge,neutral
@user @user @user @user @user @user angaza movement so we are using basic arithmetic where the assumption is that all cast votes are valid therefore so long as what was counted is what is transmitted passes the smell test reminds me of the case of the missing vests from a vest manufacturing factory,fact
@user @user @user @user @user @user angaza movement so why not develop an exit poll mechanism using the social media platforms instead o building new grant based platforms that will only be funded for a single election,fact
@user @user @user @user @user @user angaza movement will that report be admissible in court during the case for the contested results we need to stop this cosmetic activities we have know the locations of most polling stations for the past 20 years why the need to map 10 days to the election,neutral
@user @user @user @user @user @user angaza movement an intelligent person is able to understand the context of a message and doesn t take it at face value i wanted to share the complete data dump but we all know the limitations of twitter and the fear of data by kenyans,neutral
@user @user @user @user @user @user please share your current findings in diagram form and preferably with kishwahili annotations so that those of us in the unobserved 26 counties to add our voices my desktop observation of 2 3 and 4g coverage in kenya,neutral
@user @user @user @user @user @user they are busy working for the state project drafting long essays to push the state agenda they are part of the bigger scheme of state capture they already know what s happening but can t do anything,neutral
i was wondering if eueomkenya2022 staff could join this peace candaign and sing along the whole team and post it in here we re all onekenyaonefamily,neutral
switzerland 🇭supports the important work of the eu election observation mission to kenya @user today ambassador valentin zellweger met with one of the🇨🇭team members to get an update on the state of preparation for the mission k8gpvvdcu8 7rtv9abw4t,fact
@user with sylwia and aleksandra from european union election observation mission kenya 2022 @user @user @user @user,neutral
i just noticed in 2017 @user said the results were credible and the court nullified the same case in 2022 yet there were about 27 constituencies that had not been verified… i tend to believe this is a group of fraudsters,neutral
@user @user because they were beaten by their maths teachers they swore to avoid it at all costs so they became ecd teachers and lawyers expect more confused ratios between english experts during the soon to begin petition only of the presidential election but not the others,neutral
@user @user @user let s wait for the english paperwork on monday hope they avoid all the arithmetics for their one sake,neutral
@user @user so which polling station is 0 3percent this is the math that orengo will need to grapple with next week,neutral
@user @user k @user @user @user @user @user @user @user @user can we get a break down of your tally of form 34bs,neutral
@user @user @user @user @user benjindolo @user @user final,neutral
@user @user @user all we can go by is the forms on the portal any discrepancies then have to be raised in court not even chebukati can alter what is in those forms,neutral
@user @user @user explained 👇🏾 ym6tuw4xsn,neutral
@user @user @user ditto that thanks for pointing it out,neutral
sharing experiences and lesson learned from the election also some recommendations for future elections and key takeaways to our various countries we thank waeon @user for the experiences and not forgetting directortango who gave us the opportunity to represent gambia wadsabqbho,fact
this lady here binamaseno the founder and ceo of africa on the move serve as our team leader in observing electionkenya22 as international observers under @user thank you for the hospitality you indeed a great leader and a phenomenal woman continue inspiring🎉 8zv2aai6ty,neutral
representing our country gambia in observing kenya’s🇰🇪 election observing election under @user,neutral
@user @user @user @user @user peacecorps ambassadors of peace,neutral
@user @user @user will also share a soft copy with you,neutral
@user ndi crecokenya ncckkenya it s our hope that the 12th parliament will not use the power of numbers abusively it should be sobber enough to deliberate on this constitutional matter,neutral
this is the role of civil society in ensuring zero sexual violence this election year hakiknchr hakijamiiesrc hakiafrika thekhrc @user crawntrustkenya @user @user among others yes survivorsvoices2022,neutral
@user @user @user @user @user @user @user stigma and discrimination should also be assessed,neutral
@user @user @user @user @user @user @user @user @user @user @user @user avoiding traditional beliefs on hiv aids couses and knowing how it can be acquired 2 sensitization and hiv aids awareness candaigns within thecommunity 3 abstinence from sex n if amust there should be a use of condoms amongst other facts,fact
"ncic peacenet kunyakpeaceinitiative countycommissionerkericho
it s only 21 days to the august 9th the peace we have now is enough to drive us through the general election and beyond let s maintain like we maintain and keep our eyelid @user @user",neutral
@user @user you ve been a consistent partner in terms of electrical matters around the republic of kenya congratulations for rising above bar to keep the government on the checks keep up the high spirit,neutral
@user awireri @user fidakenya crecokenya katibainstitute gndemexchanges tikenya they should also dame their tongues in uttering bitter words that might orchestrate violence,neutral
"@user tikenya cmdkenya a4tkenya iri africa imlu org kenya ppdt uraiatrust roadsto2022electionke
this is a noble event and as we prepare for our election on august 9th we must check the preparedness by both the candidates and the electoral commission and to monitor the situation in the country",fact
"@user national coordinator lavaeli on @user discussing issues clearance of candidates for the august 9th general election roadto2022electionske credibleelectionske
eyesonelectionske",neutral
ncic kenya isiolocounty3 nrt kenya dlci kenya isiolocounty011 dci kenya @user eceseu nscpeace pfps kenya globalpeacekeny devolving our services in line with the constitution,neutral
"happening now @user holds inception open data meeting with electoral stakeholders in nairobi @user intends to revive the open data initiative task taskforce roadto2022electionske credibleelectionske
eyesonelectionske 1f4yobd8lm",neutral
"join @user chair awireri on @user tonight as she shares her views on the running mate debate credibleelectionske
roadto2022electionske shvlokxype",neutral
badili a @user uraiatrust siasaplace @user interested to know more about this please,neutral
@user extend the forum to mombasa,neutral
@user also recommends that political parties puts in place measures to ensure the violation of the secret ballot is redressed the observation group holds that orppkenya iebc kenya and political parties should ensure that electoral rules are implemented credibleelection vh4jdiuufw,neutral
"@user recommends that all political parties maintain and use their own party membership lists so as not to disenfranchise registered members of the party ~ awireri credibleelectionske
eyeonelectionske",fact
day 2 of @user and cemiride ke regional observation platform training lavaeli fidakenya pdnkenya2005 cmdkenya iebc kenya ngeckenya namatikenya nubianrights regina opondo singoeiakorir budef b9kh1gdatr,neutral
kenya digital transmission infrastructure and technology readiness iebc kenya gps coordinates obtained from 2 603 of 2 800 centers lack of 3g network affect transmission of results zz1gjgpkif isoc kenya kictanet @user article19eafric uraiatrust cgw kenya,neutral
"@user chair awireri who officially opened the meeting lauded members of the coast regional platform for their commitment and dedication to election observation and urged them to remain non partisan roadto2022electionske credibleelectionske
eyesonelectionske licgrtwqdf",neutral
happening now the coast regional observation platform quarterly meeting in mombasa the purpose of the meeting is to appraise and share local electoral processes and propose interventions that @user can undertake based in its mandate roadto2022electionske 3bt9z2cgyt,neutral
@user you were the petitioner how did the case on the political parties bill on nominations lists by judge odunga go,neutral
